book_id,book_code,book_name,book_author,book_date,book_pub,book_in_date,book_imgpath,book_status
0100000101,01,그대 눈동자에 건배,히가시노 게이고,20171127,현대문학,2017-12-27,null,0
0100000201,01,꽃을 보듯 너를 본다,나태주,20150620,지혜,2015-07-20,null,0
0100000301,01,82년생 김지영,조남주,20161014,민음사,2016-11-14,null,0
0200000101,02,라틴어 수업,한동일,20170630,흐름출판,2017-07-30,null,0
0200000201,02,삶으로서의 은유,조지 레이코프 외 1명,20061125,박이정,2006-12-25,null,0
0200000301,02,중국문자학,손예철,20030725,아카넷,2003-08-25,null,0
0300000101,03,자유론,존 스튜어트 밀,20160203,돋을새김,2016-03-03,null,0
0300000201,03,심연 : 나를 깨우는 짧고 깊은 생각,배철현,20180515,21세기북스,2018-06-15,null,0
0300000301,03,스피노자와 정치,에티엔 발리바르,20141230,그린비,2015-01-30,null,0
0400000101,04,야단법석,법륜,20151015,정토출판,2015-11-15,null,0
0400000201,04,나를 돌보는 시간,김유비,20180806,규장,2018-09-06,null,0
0400000301,04,바디 바이블,이창우,20180626,서우,2018-07-26,null,0
0500000101,05,예술가가 사랑한 집,이케가미 히데히로,20180720,페이퍼스토리,2018-08-20,null,0
500000201,05,컬러의 말,카시아 세인트 클레어,20180610,윌북,2018-07-10,null,0
0500000301,05,예술가들은 이렇게 말했다,함정임,20180228,마로니에북스,2018-03-28,null,0
0600000101,06,관광학 연구방법론,김사헌,20000225,일신사,2000-03-25,null,0
0600000206,06,한국 사회과학 개념사,하영선,20180629,한울아카데미,2018-07-29,null,0
0600000306,06,모두를 위한 사회과학,김윤태,20170306,휴머니스트,2017-04-06,null,0
0700000101,07,마우나케아의 어떤 밤,트린 주안 투안,20180717,파우제,2018-08-17,null,0
0700000201,07,지금 놀러갑니다 다른 행성으로,올리비아코스키,20180618,지상의책,2018-07-18,null,0
0700000301,07,날마다 천체 물리,닐 디그레스,20180228,사이언스북스,2018-03-28,null,0
0800000101,08,음향시스템 핸드북,장호준,20120210,BIC미디어북스,2012-03-10,null,0
0800000201,08,반도체 제대로 이해하기,강구창,20051020,지성사,2005-11-20,null,0
0800000301,08,로봇 수업,존 조던,20180625,사이언스북스,2018-07-25,null,0
0900000101,09,내일을 위한 역사학 강의,김기봉,20180510,문학과지성사,2018-06-10,null,0
0900000201,09,역사와 철학의 만남,이한구,20170913,세창출판사,2017-10-13,null,0
0900000301,09,제국의 시선,메리 루이스,20150615,현실문화,2015-07-15,null,0
1000000101,10,내일은 파리,온 더 로드,20180901,착한책방,2018-09-02,null,0
1000000201,10,나의 첫 자유여행 도쿄,이선미,20180820,동양북스,2018-09-02,null,0
1000000310,10,때때로 괜찮지 않았지만,여행자 MAY,20180824,더시드컴퍼니,2018-08-30,null,0
